uri,date_added,main_artist,track_name,popularity
spotify:track:4FyesJzVpA39hbYvcseO2d,2022-11-25,Lil Uzi Vert,Just Wanna Rock,88
spotify:track:1bDbXMyjaUIooNwFE9wn0N,2022-11-25,Drake,Rich Flex,95
spotify:track:4wRJHXHDJnKSPr9IVn0BFR,2022-11-25,Quavo,To The Bone (feat. YoungBoy Never Broke Again),79
spotify:track:7B09THlbQE2RndpgXeXQYE,2022-11-25,Gucci Mane,Letter to Takeoff,66
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2022-11-25,Drake,Pussy & Millions (feat. Travis Scott),90
spotify:track:65nmqAEqW7CJIkXOIkxyg8,2022-11-25,Young Dolph,Get Away,67
spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,2022-11-25,Key Glock,Jigsaw,64
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2022-11-25,NLE Choppa,Do It Again (feat. 2Rare),80
spotify:track:2RJAKIw6nIkgZVsAIKhmqz,2022-11-25,Juice WRLD,In My Head,84
spotify:track:0tgAhrvNPhSyMZR0wWbv6Z,2022-11-25,Roddy Ricch,#1 Freak (feat. Ty Dolla $ign),68
spotify:track:6ja11GoXgF75QkEVqqAadn,2022-11-25,Trippie Redd,Ain’t Safe (feat. Don Toliver),75
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2022-11-25,Lil Baby,California Breeze,81
spotify:track:6R6ZS5HYH4RdXkjEwEJO5R,2022-11-25,Central Cee,One Up,77
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-11-25,Quavo,Chocolate (feat. Young Thug and Gunna),73
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-11-25,Roddy Ricch,Stop Breathing,77
spotify:track:6Y95jrYOOWDkh7uO6PSDBT,2022-11-25,Polo G,Bag Talk,74
spotify:track:2A0G0bPmlkUXUbvWqrAXzg,2022-11-25,Lil Baby,Not Finished,78
spotify:track:7asQMsxC6dNgY0inCzJC5O,2022-11-25,Nardo Wick,G Nikes (feat. Polo G),73
spotify:track:2tFwYCvY0x9IfeW63AdMpM,2022-11-25,A Boogie Wit da Hoodie,Take Shots (feat. Tory Lanez),72
spotify:track:4ZevD501qZiFK7FY8DFn0V,2022-11-25,Don Toliver,Do It Right,72
spotify:track:13VvjrXWYzG9lWViL8Y9vM,2022-11-25,Rod Wave,Break My Heart,72
spotify:track:4OkFBMU18NidtaefaTjUq1,2022-11-25,Lil Baby,Real Spill,78
spotify:track:46GyY53xkfMRYTqZAQ33ne,2022-11-25,Money Man,Similar,66
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-11-25,Ty Dolla $ign,My Friends (feat. Lil Durk),74
spotify:track:3TJTvFCoVZaWWTRuaIPkMl,2022-11-25,Russ,BET,70
spotify:track:3QHGfxhjexLaMKGHXagfRs,2022-11-25,SoFaygo,Hell Yeah,58
spotify:track:46s57QULU02Voy0Kup6UEb,2022-11-25,Drake,Major Distribution,90
spotify:track:6H6ZtVp6DymejLOJLdRzOI,2022-11-25,G Herbo,Shordie (with Gunna),68
spotify:track:6rI8uFFmGyvS2N6sqDCdu3,2022-11-25,DDG,Bulletproof Maybach (feat. Offset),70
spotify:track:6XO8RlYuJCiI0v3IA48FeJ,2022-11-25,Marshmello,Bye Bye,82
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2022-11-25,Peezy,2 Million Up,71
spotify:track:5B40Td13cDQ4adeAiLf8Z4,2022-11-25,Roddy Ricch,Twin (feat. Lil Durk),72
spotify:track:5eTBBqeELbM67DaQ2l5f1Z,2022-11-25,Quando Rondo,I Swear (feat. Lul Timm),0
spotify:track:6PQK1Y3Dl6dym9pj0y9Chy,2022-11-25,Lil Tjay,Give You What You Want,75
spotify:track:3wspfG772mi1c25JpnNOVP,2022-11-25,Kodak Black,Walk,74
spotify:track:6Md6lyVVoKWcOaSg8u1tDn,2022-11-25,EST Gee,Shoot It Myself (feat. Future),71
spotify:track:5BvfdAtqZXGbR3Ub1Bejb6,2022-11-25,Baby Keem,bank account (with Lil Uzi Vert),73
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-11-25,GloRilla,Tomorrow 2 (with Cardi B),81
spotify:track:48qgXl0CQUVYJVn6xv0rsP,2022-11-25,Quavo,Nothing Changed,74
spotify:track:1QrL8zd8MIrCiOPuj02dxC,2022-11-25,Finesse2tymes,Back End,68
spotify:track:2g3qKijfeHfDyM7Fmaoi5M,2022-11-25,Moneybagg Yo,Blow,73
spotify:track:2BSl2gSFHdzJAMus74qzNj,2022-11-25,EST Gee,Backstage Passes (feat. Jack Harlow),74
spotify:track:2NVXBBbO4xGO851zrMfCFi,2022-11-25,Sleepy Hallow,2 Mins of Pain (feat. Alborosie),72
spotify:track:2yjlYDiNiQkdxVqTlaSrlX,2022-11-25,Nicki Minaj,Super Freaky Girl,80
spotify:track:74loibzxXRL875X20kenvk,2022-11-25,Lil Yachty,Poland,84
spotify:track:5unjCay0kUjuej5ebn4nS4,2022-11-25,Pharrell Williams,Down In Atlanta,81
spotify:track:4gKWtJGlhxKKSyV65llt2G,2022-11-25,Ski Mask The Slump God,OOGA BOOGA!,77
spotify:track:0vbmYCIWENdYyJ36Q4CdSz,2022-11-25,Smino,90 Proof (with J. Cole),72
spotify:track:1LzovYtOvkODueiluGyRzF,2022-11-25,Chance the Rapper,YAH Know,62
spotify:track:7G5wdn7Os6rKWtmbTYCjJO,2022-11-25,Rod Wave,MJ Story,67
