uri,date,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
spotify:track:6DswwzQlABrNoqjNydtvuX,2022-12-10,0.703,0.636,1,0,0.177,0.338,0.0,0.0981,0.496,132.986,144594.0,4,24.0
spotify:track:2KLwPaRDOB87XOYAT2fgxh,2022-12-10,0.749,0.63,4,0,0.116,0.0623,0.0,0.353,0.445,122.03,242027.0,4,89.0
spotify:track:7B09THlbQE2RndpgXeXQYE,2022-12-10,0.808,0.478,5,0,0.381,0.375,0.0,0.0761,0.335,140.958,217872.0,4,70.0
spotify:track:6ug9fUi5oLLgQgOF1G8WkM,2022-12-10,0.738,0.666,5,0,0.455,0.00361,0.0,0.107,0.215,161.734,177789.0,4,81.0
spotify:track:6R6ZS5HYH4RdXkjEwEJO5R,2022-12-10,0.85,0.664,6,0,0.261,0.322,0.0,0.0475,0.743,144.108,160000.0,4,77.0
spotify:track:5B40Td13cDQ4adeAiLf8Z4,2022-12-10,0.785,0.609,11,0,0.186,0.031,5.47e-05,0.096,0.326,83.962,148855.0,4,74.0
spotify:track:2Hh3ETdQKrmSI3QS0hme7g,2022-12-10,0.684,0.671,7,0,0.0464,0.189,2.37e-05,0.122,0.156,88.048,199920.0,4,77.0
spotify:track:44p5ZWDBSppOoABrxoH5jU,2022-12-10,0.796,0.461,1,1,0.338,0.428,5.55e-06,0.107,0.487,92.015,156522.0,4,25.0
spotify:track:5fCBPjWjqaa0vuRO0ZRWPC,2022-12-10,0.857,0.662,7,1,0.275,0.0374,2.21e-06,0.414,0.383,89.907,163205.0,4,28.0
spotify:track:65nmqAEqW7CJIkXOIkxyg8,2022-12-10,0.839,0.642,1,1,0.0535,0.0431,6.76e-05,0.148,0.211,140.078,180760.0,4,72.0
spotify:track:3Wqs6XFKsKcTjaWhmB8VCP,2022-12-10,0.75,0.714,1,1,0.134,0.00296,0.000113,0.137,0.254,160.036,153048.0,4,69.0
spotify:track:4EvFzNPsp8iyiEO9LDHopv,2022-12-10,0.519,0.766,2,1,0.345,0.0906,0.0,0.287,0.449,100.281,128000.0,3,59.0
spotify:track:4a5J9U353e52exFOFPcMaZ,2022-12-10,0.904,0.558,11,1,0.339,0.011,0.0,0.139,0.566,100.949,231683.0,4,61.0
spotify:track:7KXVIAuw3m2hxZanrpSXS3,2022-12-10,0.791,0.818,0,1,0.406,0.0695,0.0,0.114,0.693,159.922,209811.0,4,82.0
spotify:track:4OkFBMU18NidtaefaTjUq1,2022-12-10,0.776,0.557,2,1,0.545,0.0496,0.0,0.112,0.284,156.978,198722.0,4,78.0
spotify:track:46GyY53xkfMRYTqZAQ33ne,2022-12-10,0.894,0.458,5,0,0.363,0.0647,0.0144,0.109,0.382,150.003,112000.0,4,67.0
spotify:track:5gAwpwuchaCGnJLlBMGBzp,2022-12-10,0.806,0.64,11,0,0.317,0.0864,0.0,0.201,0.716,160.054,213206.0,4,82.0
spotify:track:6ja11GoXgF75QkEVqqAadn,2022-12-10,0.829,0.644,9,1,0.291,0.221,1.04e-06,0.141,0.515,147.151,166515.0,4,75.0
spotify:track:6mM8gri8d2abYYomjOV4ut,2022-12-10,0.586,0.689,0,1,0.425,0.0434,0.0,0.184,0.456,158.457,110707.0,4,75.0
spotify:track:2A0G0bPmlkUXUbvWqrAXzg,2022-12-10,0.785,0.524,1,1,0.122,0.0123,0.0,0.365,0.0855,142.007,163454.0,4,78.0
spotify:track:6PvHZ5vVjUhngh0t3pIsPc,2022-12-10,0.854,0.611,1,0,0.228,0.2,0.0,0.19,0.728,129.003,208372.0,4,73.0
spotify:track:13VvjrXWYzG9lWViL8Y9vM,2022-12-10,0.701,0.562,1,1,0.0381,0.0166,1.2e-05,0.352,0.354,84.994,169412.0,4,72.0
spotify:track:5JS1gz9zP4GTy0LZYvSeUK,2022-12-10,0.884,0.423,6,0,0.275,0.115,0.0,0.0895,0.259,95.753,159973.0,4,73.0
spotify:track:2tFwYCvY0x9IfeW63AdMpM,2022-12-10,0.63,0.505,10,0,0.244,0.0331,0.0,0.0713,0.578,92.537,281985.0,4,72.0
spotify:track:4ZevD501qZiFK7FY8DFn0V,2022-12-10,0.662,0.515,5,1,0.199,0.458,0.0,0.163,0.386,69.808,174474.0,4,74.0
spotify:track:46s57QULU02Voy0Kup6UEb,2022-12-10,0.908,0.546,8,0,0.323,0.0127,0.0,0.0707,0.225,131.016,170502.0,4,89.0
spotify:track:4lxTmHPgoRWwM9QisWobJL,2022-12-10,0.894,0.633,10,0,0.298,0.0369,0.0,0.178,0.578,145.11,145655.0,4,67.0
spotify:track:7asQMsxC6dNgY0inCzJC5O,2022-12-10,0.808,0.644,1,1,0.329,0.0716,0.0,0.085,0.512,151.098,206968.0,4,73.0
spotify:track:3TJTvFCoVZaWWTRuaIPkMl,2022-12-10,0.802,0.42,7,0,0.13,0.229,1.87e-05,0.299,0.183,125.948,154286.0,4,70.0
spotify:track:6PQK1Y3Dl6dym9pj0y9Chy,2022-12-10,0.691,0.656,10,0,0.0679,0.222,0.00111,0.153,0.393,89.467,159331.0,4,77.0
spotify:track:6H6ZtVp6DymejLOJLdRzOI,2022-12-10,0.768,0.695,9,1,0.179,0.0301,0.0,0.235,0.41,76.007,176588.0,4,68.0
spotify:track:2RJAKIw6nIkgZVsAIKhmqz,2022-12-10,0.633,0.548,5,0,0.0467,0.269,0.0,0.16,0.35,160.011,192000.0,4,84.0
spotify:track:0wTTf3msjDJ8NcZGTmQJQV,2022-12-10,0.633,0.478,8,1,0.044,0.0558,0.0,0.202,0.441,169.961,158168.0,4,74.0
spotify:track:5BvfdAtqZXGbR3Ub1Bejb6,2022-12-10,0.859,0.721,11,0,0.237,0.011,0.0,0.484,0.689,148.015,214240.0,4,73.0
spotify:track:3wspfG772mi1c25JpnNOVP,2022-12-10,0.817,0.512,8,1,0.0984,0.037,0.0,0.216,0.17,130.04,166039.0,4,74.0
spotify:track:2BSl2gSFHdzJAMus74qzNj,2022-12-10,0.855,0.478,1,1,0.345,0.145,0.0,0.101,0.536,153.074,158431.0,4,73.0
spotify:track:4gKWtJGlhxKKSyV65llt2G,2022-12-10,0.847,0.916,1,1,0.222,0.101,0.000766,0.118,0.751,104.018,139038.0,4,77.0
spotify:track:5unjCay0kUjuej5ebn4nS4,2022-12-10,0.851,0.819,7,1,0.212,0.337,0.000153,0.0658,0.903,83.154,164041.0,3,84.0
spotify:track:2yjlYDiNiQkdxVqTlaSrlX,2022-12-10,0.951,0.878,2,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,170977.0,4,80.0
